City,Kelvin Temperature,Humidity,Pressure,Temp_celsius,Time Stamp

Uppugunduru,303.48,47,1012,30.33000000000004,2026-03-02 11:38:42.571496
Ongole,305.05,38,1012,31.900000000000034,2026-03-02 11:38:43.329443
Chīrāla,303.64,48,1012,30.49000000000001,2026-03-02 11:38:44.075319
Gunturu,302.24,73,1004,29.090000000000032,2026-03-02 11:38:44.922351
Vijayawada,305.12,43,1011,31.970000000000027,2026-03-02 11:38:45.750625
Tirumala - Tirupati,305.72,35,1012,32.57000000000005,2026-03-02 11:38:46.676478
Bāpatla,304.18,48,1012,31.03000000000003,2026-03-02 11:38:47.457219
